Funding agency,Program title,Sub-program title,Purpose,Category1,Category2,Category3,Applicant type1,Applicant type2,Applicant type3,Client group1,Client group2,Client group3,Client group4,Client group5,Client group6,Business specific activity1,Business specific activity2,Business specific activity3,Business specific activity4,Business specific activity5,Assistance type1,Assistance type2,Assistance type3,Status,Opening date (date format),Closing date (date format),Opening date (text),Closing date (text),Financial year budget,Additional budget information,Website,Maximum (indicative) grant amount (dollar amount),Maximum (indicative) grant amount (text),Eligibility,How will I know if I'm successful?,Service ID,Category,Client Group,Application Type,Funding
DESBT,Aviation Strategy,,"To provide an institutional pathway for aircraft maintenance engineer apprenticeship for eligible participants, addressing the skills shortages in the aviation industry.",Education and training,Employment and jobs,,Predetermined recipient/s,,,Jobseekers,,,,,,,,,,,Grant,,,Open,,,,,3000000,,https://desbt.qld.gov.au/training,,,Program is only delivered by Aviation Australia. Further information is available on the Aviation Australia website.,,61001,,,,
DESBT,Back to Work Regional Program,,Back to Work - Regional Employment Package (Back to Work)** is a four-year $383 million initiative designed to give businesses the confidence to employ regional jobseekers and provide an economic boost to regions facing challenging times,Employment and jobs,Business and industry,,"Business, startup or entrepreneur",Community group/not for profit,,Employers,Employees,Jobseekers,Rural communities,Non-government organisations,,Grow your business,,,,,Grant,,,Open,1/07/2016,,,Applications are available for jobs commencing up to 30 June 2021 unless funds expended earlier,34960696,,https://backtowork.initiatives.qld.gov.au/,,"Employer Support Payments of $10,000 for a jobseeker previously unemployed between four and 52 weeks increasing to $15,000 for a jobseeker previously unemployed for 52 weeks or more.  Youth Boost Payments of $20,000 for a jobseeker previously unemployed for four weeks or more and aged between 15-24 years. Apprentice and Trainee Boost payment of up to $20,000 for a jobseeker previously unemployed for a minimum of four weeks and is an eligible apprentice or trainee.","**Who is an eligible employer?**

All employers are eligible except for government entities (local, State and Commonwealth governments and entities including government owned corporations and statutory bodies). Employers must have:

- a good workplace safety and industrial relations record and
- a genuine commitment to ongoing employment of the employee.

**What is an eligible job?**

The job offered must be:

- mainly located in regional Queensland (excluding South East Queensland) and
- ongoing paid full-time (at least 35 hours per week on average) or
- ongoing paid part-time (at least 20 hours per week on average) or
- for a person with a disability who has a workplace assessment to work between 8 and 20 hours per week, hours consistent with their approved benchmark, on average or
- a registered and eligible Queensland full-time or part-time apprenticeship.

**Who is an eligible employee?**

An eligible employee for the Employer Support Payment:

­- must be a permanent resident of Australia and their principal place of residency is in Queensland 
­- must have been unemployed for the minimum period for the specified support payment directly prior to commencing employment with the eligible employer 
­- has not worked for the eligible employer in the 52 weeks directly prior to commencing employment with the eligible employer
­- at the time the initial payment application is made, has been in paid employment with the eligible employer for at least four weeks but not more than 12 weeks 
­- is not currently and was not a full-time student within four weeks immediately prior to commencing with the eligible employer 
­- must not have displaced any existing workers
­- if the employee has a disability, must be engaged in mainstream employment.
An eligible employee for the Apprentice and Trainee Boost payment:
   - must meet all the criteria for an Employer Support Payment and 
-  must have been unemployed for at least four weeks directly prior to commencing employment with the eligible employer 
-  be undertaking a registered and eligible apprenticeship or traineeship.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  An eligible employee for the Youth Boost Payment:

- must meet all of the criteria for an Employer Support Payment and must have been unemployed for at least four weeks directly prior to commencing employment with the eligible employer 
- must be over the age of 15 years and below the age of 25 years on the date they commenced employment with the eligible employer (but can turn 25 during the period of their employment). ",You will be notified by email as to the outcome of your application.,61002,,,,
DESBT,Back to Work South East Queensland Program,,"**Back to Work - South East Queensland Employment Package (Back to Work SEQ)** is designed to give businesses the confidence to employ long-term unemployed and unemployed young jobseekers in some parts of South East Queensland (SEQ). This program aims to facilitate unemployed jobseekers into the labour market and support them to create a strong connection to the labour force.

**Employer Support** Apprentice and Trainee Boost and **Youth Boost Payments** will be available for employers who hire an eligible jobseeker between 1 July 2017 and 30 June 2021

From 1 July 2018 Back to Work SEQ Employer Support Payments and Youth Boost Payments are offered in the following areas:

- Logan
- Scenic Rim
- Ipswich
- Lockyer Valley
- Somerset
- Moreton Bay",Employment and jobs,Business and industry,,"Business, startup or entrepreneur",Community group/not for profit,,Employers,Employees,Jobseekers,Non-government organisations,,,Grow your business,,,,,Grant,,,Open,1/07/2017,,,Applications are available for jobs commencing up to 30 June 2021 unless funds expended earlier,8195560,,https://backtowork.initiatives.qld.gov.au/,,"Employer Support Payments of $15,000 for a jobseeker previously unemployed for 52 weeks or more.  Youth Boost Payments of $20,000 for a jobseeker previously unemployed for four weeks or more and aged between 15-24 years. Apprentice and Trainee Boost payment of up to $20,000 for a jobseeker previously unemployed for a minimum of four weeks and is an eligible apprentice or trainee.","**Who is an eligible employer?**

All employers are eligible except for government entities (local, State and Commonwealth governments and entities including government owned corporations and statutory bodies). Employers must have:

- a good workplace safety and industrial relations record and
- a genuine commitment to ongoing employment of the employee.

**What is an eligible job?**

The job offered must be:

- mainly located in eligible South East Queensland local government areas and
- ongoing paid full-time (at least 35 hours per week on average) or
- ongoing paid part-time (at least 20 hours per week on average) or
- for a person with a disability who has a workplace assessment to work between 8 and 20 hours per week, hours consistent with their approved benchmark, on average or
- a registered and eligible Queensland full-time or part-time apprenticeship.

**Who is an eligible employee?**

An eligible employee for the Employer Support Payment:

­- must be a permanent resident of Australia and their principal place of residency is in Queensland
­- must have been unemployed for the minimum period for the specified support payment directly prior to commencing employment with the eligible employer 
­- has not worked for the eligible employer in the 52 weeks directly prior to commencing employment with the eligible employer and
­- commenced employment with the eligible employer from 1 July 2019
­- at the time the initial payment application is made, has been in paid employment with the eligible employer for at least four weeks but not more than 12 weeks
­- is not currently or was not a full-time student within four weeks immediately prior to commencing with the eligible employer 
­- must not have displaced any existing workers 
­- if the employee has a disability, must be engaged in mainstream employment.
                              
 An eligible employee for the Apprentice and Trainee Boost payment:
   - must meet all the criteria for an Employer Support Payment and 
-  must have been unemployed for at least four weeks directly prior to commencing employment with the eligible employer 
-  be undertaking a registered and eligible apprenticeship or traineeship.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                An eligible employee for the Youth Boost Payment:

- must meet all of the criteria for an Employer Support Payment except for the requirement to have been unemployed for a period of 52 weeks and
Was unemployed for at least four weeks directly prior to commencing employment with the eligible employer 
- must be over the age of 15 years and below the age of 25 years on the date they commenced employment with the eligible employer (but can turn 25 during the period of their employment).",You will be notified by email as to the outcome of your application.,61003,,,,
DESBT,Business Growth Fund,,"The Business Growth Fund (BGF) targets high-growth businesses who can accelerate growth, drive the Queensland economy and employ more Queenslanders.
The BGF program administered by the Department of Employment, Small Business and Training (DESBT) provides grant funding for small and medium businesses experiencing high-growth.
The grant funding assists the business to buy specialised equipment to unlock growth potential, increase production, expand its workforce and maximise economic returns.

If successful, a single up-front payment of up to $50,000 (excluding GST) is made available for the business to purchase and implement highly specialised equipment to enable the business to move to the next stage of growth. Grant funding will be awarded after a competitive assessment process that includes pitching to business experts and DESBT executives. The applicant must also fund at least 25 per cent of project costs to purchase and implement the specialised equipment. 

The grant funding must be used to purchase specialised equipment to meet business growth. The equipment must have a direct link to increasing employment and maximising economic returns.

Examples of eligible highly specialised equipment include (but are not limited to):
· production equipment to meet otherwise unachievable growth demand
· advanced manufacturing or digital equipment and systems, or
· advanced logistics systems and equipment 
",Business and industry,Employment and jobs,,"Business, startup or entrepreneur",,,Businesses,,,,,,Grow your business,Coaching & mentoring,Exporting,,,Grant,,,Closed,11/05/2021,16/08/2021,,The program will remain open for applications until the budget is fully allocated.,2500000,,https://www.business.qld.gov.au/growthfund,50000,,"To be eligible for this grant, the business must:

· have a trading history of a minimum of three years at the time of applying for the grant
· have a minimum turnover of $500,000 for the last financial year
· have fewer than 50 employees at the time of applying for the grant
· have an active Australian Business Number (ABN) and be registered for GST
· have Queensland headquarters
· have competitive opportunities in domestic or international markets
· be experiencing growth and have clearly defined high-growth and employment opportunities in Queensland, and
· not be insolvent or have owners/directors that are an undischarged bankrupt

To determine if the BGF program is suitable, businesses must also complete a Mentoring for Growth (M4G) session prior to being invited to complete an application. 

The applying business must be able to provide the following supporting documentation:

  * a business plan 
  * projected business figures
  * a simple balance sheet
  * a simple profit and loss statement
  *a quote/proposal that provides comprehensive details of the specialised equiptment that you will be purchasing as part of the project

Only 1 application will be accepted from an individual ABN or a financial beneficiary of a business for consideration at any one time.

Previous successful applicants of Round 1 and 2 are ineligible to reapply for funding under this program. 

Refer to program guidelines at www.business.qld.gov.au/growthfund for detailed information.
",You will be notified by email as to the outcome of your application.,61004,,,,
DESBT,Certificate 3 Guarantee,,"Supports eligible individuals to complete their first post school certificate III level qualification and increase their skills to move into employment, re-enter the workforce or advance their career.",Education and training,Employment and jobs,,"Business, startup or entrepreneur",Individual seeking grant or assistance,,Students,Jobseekers,Employees,,,,,,,,,Concession,Grant,,Open,,,,,201586427,,https://desbt.qld.gov.au/training/docs-data/strategies/vetinvest,,,"Registered training organisations who are also approved pre qualified suppliers. The program is open to any Queensland resident aged 15 years or over who is no longer at school (with the exception of VET in Schools students) and is an Australian or New Zealand citizen or Australian permanent resident (including humanitarian entrants), or a temporary resident with the necessary visa and on the pathway to permanent residency. Prospective students must not have or be enrolled in a certificate III or higher qualification (not including qualifications completed at school and foundation skills training).",,61005,,,,
DESBT,Construction Brokerage,,"Industry led training delivery in the civil construction industry by both public and private registered training organisations. Training lead by the peak industry body, Construction Skills Queensland.",Education and training,,,Predetermined recipient/s,,,Non-government organisations,,,,,,,,,,,Grant,,,Open,,,,,2752000,,https://desbt.qld.gov.au/training/employers/funding/other,,,"Only available to peak industry body, Construction Skills Queensland thought direct negotiation.",,61006,,,,
DESBT,Gateway to Industry Schools,,Funding provided to organisations to run the Gateway to Industry Schools Program under a services agreement.,Education and training,Employment and jobs,,Predetermined recipient/s,,,Government,,,,,,,,,,,Grant,,,Open,,,,,2650000,,https://desbt.qld.gov.au/training/employers/gateway-schools,,,Only available to Gateway Schools.,,61007,,,,
DESBT,Higher Level Skills,,This program helps individuals to gain the higher-level skills and qualifications required to secure employment or career advancement in a priority industry. It may also help individuals transition to university study in areas aligned to priority occupations for industry and the economy. The program provides eligible individuals with access to one subsidised training place in priority certificate IV level and above qualifications or priority skill sets.,Education and training,Employment and jobs,,"Business, startup or entrepreneur",Individual seeking grant or assistance,,Students,Jobseekers,Employees,,,,,,,,,Concession,Grant,,Open,,,,,75000000,,https://desbt.qld.gov.au/training/providers/funded/higher-level-skills,,,Registered training organisations who are also approved pre qualified suppliers.,,61008,,,,
DESBT,Indigenous VET Partnership,,The Indigenous VET Partnerships will invest in accredited training and assessment services that will improve employment outcomes for Aboriginal and Torres Strait Islanders across the state. Initiatives and programs will need to show value for money and clear pathways to employment.,Education and training,Aboriginal and Torres Strait Islander peoples,,Predetermined recipient/s,,,Aboriginal and Torres Strait Islanders,Students,Employees,,,,,,,,,Grant,,,Open,,,,,1000000,,https://training.qld.gov.au/community-orgs/funded/vet-partnership,,,,,61009,,,,
DESBT,Queensland Group Training Program,,Funding is to support Group Training Organisations and to assist with the continued growth of apprenticeship commencements and to reduce attrition rates.,Education and training,Employment and jobs,,Predetermined recipient/s,,,Jobseekers,Employees,,,,,,,,,,Grant,,,Closed,,,,,3250343,,https://desbt.qld.gov.au/,,,Only available to recognised Group Training Organisations in Queensland. Through direct negotiation.,,61010,,,,
DESBT,Registered Trade Skills Pathways,,"Pilot program as an alternative to traditional apprenticeship pathway that is run across the construction, hospitality and manufacturing industries.",Education and training,Employment and jobs,,Predetermined recipient/s,,,Employees,,,,,,,,,,,Grant,,,Open,,,,,1000000,,https://desbt.qld.gov.au/,,,Not published on departmental site as the partner organisations advertise on their websites.,,61011,,,,
DESBT,Skilling Queenslanders for Work,Community Work Skills,"Funds community based organisations to deliver tailored support and assistance to participants to help them gain nationally recognised skills and qualifications. This includes career advice, job preparation skills, foundation skills and individual case management.",Education and training,Employment and jobs,,Community group/not for profit,,,Jobseekers,,,,,,,,,,,Grant,,,Closed,,,,,16800000,Community Work Skills,https://desbt.qld.gov.au/training/training-careers/incentives/sqw,,,Not-for-profit community-based organisations,,61012,,,,
DESBT,Skilling Queenslanders for Work,Work Skills Traineeship,"Funds paid work placements on community, public works and environmental projects for up to 6 months. Participants undertake a Work Skills Traineeship (Certificate I in Business, Construction, Conservation and Land Management, Hospitality or Retail Services) that integrates vocational skills with on the job training.",Education and training,Employment and jobs,,Community group/not for profit,,,Jobseekers,,,,,,,,,,,Grant,,,Closed,,,,,37050000,Work Skills Traineeships,https://desbt.qld.gov.au/training/training-careers/incentives/sqw,,,Not-for-profit community-based organisations and local councils,,61013,,,,
DESBT,Skilling Queenslanders for Work,Ready for Work,Funds community based organisations and school Parents and Citizens' and Parents and Friends' associations to deliver basic job preparation and employability skills courses up to 6-8 weeks to unemployed youth aged 15-24 years to get them ready for work.,Education and training,Employment and jobs,,Community group/not for profit,,,Jobseekers,,,,,,,,,,,Grant,,,Closed,,,,,1500000,Ready for Work,https://desbt.qld.gov.au/training/training-careers/incentives/sqw,,,Not-for-profit community-based organisations,,61014,,,,
DESBT,Skilling Queenslanders for Work,Get Set for Work,"Funds community-based organisations to deliver intensive employment and training assistance over 12 months to 15-19 year old early school leavers and disadvantaged young people to transition them to the workforce, undertake further education and training or return to school.",Education and training,Employment and jobs,,Community group/not for profit,,,Jobseekers,,,,,,,,,,,Grant,,,Closed,,,,,8750000,Get Set for Work,https://desbt.qld.gov.au/training/training-careers/incentives/sqw,,,Not-for-profit community-based organisations with proven experience and success in assisting young people,,61015,,,,
DESBT,Skilling Queenslanders for Work,Youth Skills,"Funds community based organisations to assist 15-24 year olds engaged with Youth Justice or Queensland Corrective Services, to undertake nationally recognised training and provide integrated learner support.",Education and training,Employment and jobs,,Community group/not for profit,,,Jobseekers,,,,,,,,,,,Grant,,,Closed,,,,,1000000,Youth Skills,https://desbt.qld.gov.au/training/training-careers/incentives/sqw,,,Not-for-profit community-based organisations with proven experience and success in assisting young people who are engaged with Youth Justice or Queensland Corrective Services,,61016,,,,
DESBT,Skilling Queenslanders for Work,Work Start Incentives,"Incentive program that rewards private sector employers, ineligible for Back to Work employer support payments, with a one-off $10,000 payment after a qualifying period if they employ a Queenslander in a traineeship or apprenticeship who has participated in a Community Work Skills, Work Skills Traineeships, Get Set for Work, Ready for Work or Youth Skills project.",Education and training,Employment and jobs,,"Business, startup or entrepreneur",,,Jobseekers,,,,,,,,,,,Grant,,,Open,,,,,4000000,Work Start incentives,https://desbt.qld.gov.au/training/training-careers/incentives/sqw,,,Private sector employers who employer a former Skilling Queenslanders for Work (SQW) participant as a trainee or apprentice.,,61017,,,,
DESBT,Skilling Queenslanders for Work,First Start - Councils,Provides wage subsidies to local councils to employ additional trainees for 12 months.,Education and training,Employment and jobs,,Local government,,,Jobseekers,Employees,Employers,Businesses,,,,,,,,Grant,,,Closed,,,,,6000000,First Start - Councils,https://desbt.qld.gov.au/training/training-careers/incentives/sqw,,,Queensland local councils.,,61018,,,,
DESBT,Skilling Queenslanders for Work,First Start - CBOs,Provides wage subsidies to not-for-profit organisations to employ additional trainees for 12 months.,Education and training,Employment and jobs,,Community group/not for profit,,,Jobseekers,Employees,Employers,Businesses,,,,,,,,Grant,,,Open,,,,,2900000,First Start - CBOs,https://desbt.qld.gov.au/training/training-careers/incentives/sqw,,,Not-for-profit community-based organisations.,,61019,,,,
DESBT,Small Business Digital Grants Program,,"This program provides small businesses with access to digital technologies and services to enable them to work smarter, engage with the global economy and make the most of online business opportunities arising from digital disruption.

If successful, a 50% funding contribution of up to $10,000 (excluding GST) is provided following completion of your proposal / implementation of the project. The business must clearly demonstrate how the product or service will significantly enhance the digital capabilities of the business and how they will impact on the growth of the business (be more competitive and employ more staff). 

The digital technology or service must fall under one of four identified priority areas:

- receiving payments or selling online
- digital planning, digital marketing strategy development, and digital training 
- specialised digital technology and/or business specific software  
- content development (web pages, mobile apps, visual and audio media etc.)



#####We will not fund the following:

* projects with a total cost less than $2 000 will not be funded, as the minimum grant funding amount that can be provided is $1 000 
* travel costs for any party 
* services delivered in-kind (funding will only cover services paid for via a financial transaction) 
* fees for services provided by related parties (such as companies with common shareholdings or directorship with the applicant, and employees or immediate family of the applicant) 
* franchise fees or related costs 
* direct-selling businesses (where sales of another business goods or services are made in the customers home, work or other meeting place through methods such as party plan and network marketing) 
* maintenance of existing digital technologies 
* website hosting as a stand-alone cost. Website hosting will be covered up to 
12 months if it is part of a new website build or upgrade but it is not eligible as a stand-alone cost and must be paid in full by the project completion date 
* purchase of non-project related assets such as stock 
* salaries 
* general business operating costs (including bookkeeping/accounting and tax returns) 
* paid advertising campaigns e.g. Google AdWords, Facebook advertising or similar expenses. The grant can cover the development of an online marketing plan but not the actual advertising cost 
* goods or services purchased or any payments made prior to the grant funding approval date.",Business and industry,Employment and jobs,,"Business, startup or entrepreneur",,,Businesses,,,,,,Starting a new business,Grow your business,Coaching & mentoring,,,Grant,,,Closed,,,,,1313100,,https://www.business.qld.gov.au/digital ,10000,,"To be eligible the business must:

- have fewer than 20 employees at the time of applying for the grant
- have an Australian Business Number (ABN) and be registered for GST
- have Queensland headquarters
- have a turnover of $2 million or less for the last financial year
- not be insolvent or have owners/directors that are an undischarged bankrupt.

The participating business must provide a project report on completion of the project detailing how the funds were spent and the impact it has had on the business.

Applications will also be prioritised by:

- the impact the digital technology or service will have on the business (measured by revenue growth, increase in gross profit, time savings, employment outcomes)
- the extent to which the digital technology or service will enhance the digital capabilities of the business to make the business more competitive
- the potential and likelihood the activity will deliver jobs growth
- value for money.

Refer to program guidelines at www.business.qld.gov.au/digital for detailed information.",You will be notified by email as to the outcome of your application.,61020,,,,
